#29 values of k+1, for data size NM1=1.6e6/3, NM1=1.6e6/2, NM1=1.6e6/1 and linear extrapolation to NM1=infinity respetively
k+1     mean_of_TE_rate         2sigma_error
  1.00000000e+00 9.97727672e-02 1.56621758e-03 
  2.00000000e+00 9.76736391e-02 1.77656849e-03 
  3.00000000e+00 9.62203778e-02 1.62911236e-03 
  5.00000000e+00 9.57313404e-02 1.56969540e-03 
  8.00000000e+00 9.10557960e-02 1.31781952e-03 
  1.20000000e+01 8.86874206e-02 1.76066731e-03 
  1.90000000e+01 8.01471974e-02 1.45330478e-03 
  2.90000000e+01 7.49245765e-02 1.57783365e-03 
  4.50000000e+01 6.64522772e-02 1.32587755e-03 
  6.90000000e+01 5.85967955e-02 1.14960287e-03 
  1.06000000e+02 5.32718914e-02 1.30258613e-03 
  1.63000000e+02 5.62808069e-02 1.70451617e-03 
  2.50000000e+02 6.21207871e-02 1.37201002e-03 
  3.82000000e+02 7.49589143e-02 1.46042083e-03 
  5.85000000e+02 9.47154026e-02 1.78614236e-03 
  8.94000000e+02 1.23921832e-01 1.69742337e-03 
  1.36800000e+03 1.68489448e-01 2.05373744e-03 
  2.09200000e+03 2.36631296e-01 2.12651336e-03 
  3.19900000e+03 3.42813730e-01 2.00428633e-03  
  1.00000000e+00 1.00415393e-01 1.24794579e-03 
  2.00000000e+00 9.78041426e-02 1.37886796e-03 
  3.00000000e+00 9.59008018e-02 1.26200010e-03 
  5.00000000e+00 9.47869026e-02 1.08216225e-03 
  8.00000000e+00 9.09667390e-02 1.15151740e-03 
  1.20000000e+01 8.77132087e-02 1.62410931e-03 
  1.90000000e+01 7.98566271e-02 1.09715322e-03 
  2.90000000e+01 7.38621369e-02 1.09855818e-03 
  4.50000000e+01 6.54022592e-02 1.23356861e-03 
  6.90000000e+01 5.66032727e-02 9.46022624e-04 
  1.06000000e+02 5.04718553e-02 1.17322176e-03 
  1.63000000e+02 5.08565467e-02 1.05031184e-03 
  2.50000000e+02 5.46834817e-02 1.10052180e-03 
  3.82000000e+02 6.29906880e-02 1.17888193e-03 
  5.85000000e+02 7.64840818e-02 1.31644602e-03 
  8.94000000e+02 9.53518387e-02 1.43415938e-03 
  1.36800000e+03 1.26003014e-01 1.32644716e-03 
  2.09200000e+03 1.69773591e-01 1.39943382e-03 
  3.19900000e+03 2.40837172e-01 1.72993681e-03  
  1.00000000e+00 9.96990847e-02 7.59407461e-04 
  2.00000000e+00 9.80346009e-02 1.06011287e-03 
  3.00000000e+00 9.61691602e-02 9.83840340e-04 
  5.00000000e+00 9.39541764e-02 8.09290258e-04 
  8.00000000e+00 9.07425670e-02 9.19572008e-04 
  1.20000000e+01 8.66197056e-02 9.18380043e-04 
  1.90000000e+01 7.98232686e-02 8.96442739e-04 
  2.90000000e+01 7.22502707e-02 7.64074133e-04 
  4.50000000e+01 6.34781700e-02 8.97963106e-04 
  6.90000000e+01 5.45184020e-02 7.95638127e-04 
  1.06000000e+02 4.79566908e-02 6.57546471e-04 
  1.63000000e+02 4.62010090e-02 7.37101332e-04 
  2.50000000e+02 4.75655319e-02 5.97216059e-04 
  3.82000000e+02 5.08112473e-02 7.49926526e-04 
  5.85000000e+02 5.82573325e-02 7.47917904e-04 
  8.94000000e+02 6.75162807e-02 7.69657544e-04 
  1.36800000e+03 8.23049442e-02 8.13392848e-04 
  2.09200000e+03 1.04703511e-01 8.87036547e-04 
  3.19900000e+03 1.39149179e-01 1.07555616e-03  
  1.00000000e+00 9.98887328e-02 1.91116715e-03 
  2.00000000e+00 9.81984224e-02 2.21117607e-03 
  3.00000000e+00 9.60455622e-02 2.03201608e-03 
  5.00000000e+00 9.30469769e-02 1.84210670e-03 
  8.00000000e+00 9.06084720e-02 1.75826935e-03 
  1.20000000e+01 8.56057313e-02 2.28157264e-03 
  1.90000000e+01 7.96184357e-02 1.80532278e-03 
  2.90000000e+01 7.10046907e-02 1.84104414e-03 
  4.50000000e+01 6.21367971e-02 1.80053246e-03 
  6.90000000e+01 5.24944325e-02 1.50133844e-03 
  1.06000000e+02 4.52516152e-02 1.66547772e-03 
  1.63000000e+02 4.10329956e-02 1.89950477e-03 
  2.50000000e+02 4.02346873e-02 1.65237234e-03 
  3.82000000e+02 3.87726314e-02 1.79767726e-03 
  5.85000000e+02 4.00275584e-02 2.08245216e-03 
  8.94000000e+02 3.91911345e-02 2.09319323e-03 
  1.36800000e+03 3.94146861e-02 2.29574894e-03 
  2.09200000e+03 3.84417631e-02 2.40629752e-03 
  3.19900000e+03 3.72689363e-02 2.54177089e-03  
