#29 values of k+1, for data size NM1=1.6e6/3, NM1=1.6e6/2, NM1=1.6e6/1 and linear extrapolation to NM1=infinity respetively
k+1     mean_of_TE_rate         2sigma_error
  1.00000000e+00 1.06641380e-01 1.44919963e-03 
  4.50000000e+01 1.05275302e-01 1.41387608e-03 
  8.90000000e+01 1.01469229e-01 1.44306656e-03 
  1.34000000e+02 9.74368475e-02 1.56408873e-03 
  1.78000000e+02 9.70023008e-02 1.70274387e-03 
  2.22000000e+02 9.62386806e-02 1.81496510e-03 
  2.67000000e+02 9.82630868e-02 1.38628493e-03 
  3.11000000e+02 1.00436982e-01 1.71286507e-03 
  3.55000000e+02 1.01126134e-01 1.72842969e-03 
  4.00000000e+02 1.05410256e-01 1.82278425e-03  
  4.22000000e+02 1.06619159e-01 1.81625508e-03 
  8.43000000e+02 1.42559042e-01 2.40341095e-03 
  1.26400000e+03 1.82109752e-01 2.35341914e-03 
  1.68500000e+03 2.22713444e-01 2.26191190e-03 
  2.10600000e+03 2.63040491e-01 2.65162783e-03 
  2.52700000e+03 3.02928302e-01 2.41303292e-03 
  2.94800000e+03 3.45107717e-01 2.78947995e-03 
  3.36900000e+03 3.83238217e-01 3.35218816e-03 
  3.79000000e+03 4.22537447e-01 3.19259633e-03 
  4.21100000e+03 4.63422531e-01 2.55823495e-03 
  4.63200000e+03 5.04843536e-01 2.76752903e-03 
  5.05300000e+03 5.46726591e-01 3.26477683e-03 
  5.47400000e+03 5.89361909e-01 3.91854809e-03 
  5.89500000e+03 6.32060964e-01 3.68890853e-03 
  6.31600000e+03 6.73443818e-01 3.45628205e-03 
  6.73700000e+03 7.13845601e-01 4.61406616e-03 
  7.15800000e+03 7.58538764e-01 4.46794351e-03 
  7.57900000e+03 8.01432091e-01 4.15240682e-03 
  8.00000000e+03 8.41890278e-01 4.28480421e-03  
  1.00000000e+00 1.06877190e-01 1.09469565e-03 
  4.50000000e+01 1.04116602e-01 1.20302381e-03 
  8.90000000e+01 9.84334678e-02 9.59008780e-04 
  1.34000000e+02 9.39603345e-02 1.27719950e-03 
  1.78000000e+02 9.13384533e-02 1.20300178e-03 
  2.22000000e+02 8.94950828e-02 1.25126445e-03 
  2.67000000e+02 8.94209249e-02 1.26931544e-03 
  3.11000000e+02 9.05215378e-02 1.25093515e-03 
  3.55000000e+02 9.01465690e-02 1.40924411e-03 
  4.00000000e+02 9.22681276e-02 1.47142521e-03  
  4.22000000e+02 9.33501813e-02 1.52680879e-03 
  8.43000000e+02 1.15103880e-01 1.79380984e-03 
  1.26400000e+03 1.41737992e-01 1.61304944e-03 
  1.68500000e+03 1.68885401e-01 1.37716727e-03 
  2.10600000e+03 1.94310395e-01 1.93722778e-03 
  2.52700000e+03 2.21669574e-01 2.01689189e-03 
  2.94800000e+03 2.49006653e-01 2.29113962e-03 
  3.36900000e+03 2.74068053e-01 2.23296608e-03 
  3.79000000e+03 3.01419334e-01 2.33435692e-03 
  4.21100000e+03 3.28090111e-01 1.87009812e-03 
  4.63200000e+03 3.54659281e-01 2.21404190e-03 
  5.05300000e+03 3.82050102e-01 2.59267160e-03 
  5.47400000e+03 4.10313484e-01 2.24390915e-03 
  5.89500000e+03 4.39037393e-01 2.66260835e-03 
  6.31600000e+03 4.65679047e-01 2.36216162e-03 
  6.73700000e+03 4.91971534e-01 2.72636588e-03 
  7.15800000e+03 5.19812202e-01 2.38678482e-03 
  7.57900000e+03 5.48076433e-01 2.42057632e-03 
  8.00000000e+03 5.75411678e-01 3.10558374e-03  
  1.00000000e+00 1.06937185e-01 7.64802056e-04 
  4.50000000e+01 1.01978480e-01 8.24503865e-04 
  8.90000000e+01 9.58822006e-02 6.97815709e-04 
  1.34000000e+02 8.95292911e-02 9.36578468e-04 
  1.78000000e+02 8.51333299e-02 7.80143673e-04 
  2.22000000e+02 8.26516370e-02 1.02026742e-03 
  2.67000000e+02 8.06508356e-02 6.80911937e-04 
  3.11000000e+02 8.06569356e-02 7.67987123e-04 
  3.55000000e+02 7.90319024e-02 1.00377486e-03 
  4.00000000e+02 7.95467294e-02 1.02906873e-03  
  4.22000000e+02 7.96310953e-02 9.26053748e-04 
  8.43000000e+02 8.81640644e-02 1.00185116e-03 
  1.26400000e+03 1.02763509e-01 1.06356012e-03 
  1.68500000e+03 1.15909379e-01 1.08058514e-03 
  2.10600000e+03 1.28351225e-01 1.32710290e-03 
  2.52700000e+03 1.41608804e-01 1.25952548e-03 
  2.94800000e+03 1.55572672e-01 1.18982885e-03 
  3.36900000e+03 1.66985543e-01 1.26509904e-03 
  3.79000000e+03 1.81100628e-01 1.03162637e-03 
  4.21100000e+03 1.93760785e-01 1.46017350e-03 
  4.63200000e+03 2.08036554e-01 1.24703053e-03 
  5.05300000e+03 2.21817037e-01 1.27760492e-03 
  5.47400000e+03 2.35036857e-01 1.58938290e-03 
  5.89500000e+03 2.48309651e-01 1.36556420e-03 
  6.31600000e+03 2.61223250e-01 1.26137476e-03 
  6.73700000e+03 2.75602391e-01 1.55780094e-03 
  7.15800000e+03 2.88783484e-01 1.57267668e-03 
  7.57900000e+03 3.03276748e-01 1.64964011e-03 
  8.00000000e+03 3.16034666e-01 1.65898570e-03  
  1.00000000e+00 1.07081027e-01 1.74280426e-04 
  4.50000000e+01 1.00332406e-01 9.58921790e-04 
  8.90000000e+01 9.31127886e-02 4.90459251e-04 
  1.34000000e+02 8.55844901e-02 9.77947776e-04 
  1.78000000e+02 7.91676001e-02 5.09995753e-04 
  2.22000000e+02 7.58573147e-02 1.09144678e-04 
  2.67000000e+02 7.18468842e-02 5.97062185e-05 
  3.11000000e+02 7.07699463e-02 4.62559965e-05 
  3.55000000e+02 6.79849963e-02 1.35779918e-04 
  4.00000000e+02 6.66173264e-02 4.17627992e-04  
  4.22000000e+02 6.61249547e-02 4.06200172e-04 
  8.43000000e+02 6.10028566e-02 4.41421899e-04 
  1.26400000e+03 6.31781762e-02 1.32894322e-03 
  1.68500000e+03 6.25569391e-02 8.98765640e-04 
  2.10600000e+03 6.11083620e-02 2.70899471e-03 
  2.52700000e+03 6.09760282e-02 1.10224061e-03 
  2.94800000e+03 6.09613127e-02 2.17640008e-03 
  3.36900000e+03 5.90642088e-02 1.80009850e-03 
  3.79000000e+03 6.04669545e-02 5.94462248e-04 
  4.21100000e+03 5.89333179e-02 1.06853571e-03 
  4.63200000e+03 5.98181671e-02 3.06461748e-03 
  5.05300000e+03 5.96891304e-02 3.51367440e-03 
  5.47400000e+03 5.82601869e-02 3.69521265e-03 
  5.89500000e+03 5.66440189e-02 1.86476591e-03 
  6.31600000e+03 5.54440846e-02 2.75330640e-03 
  6.73700000e+03 5.72023811e-02 4.72955051e-03 
  7.15800000e+03 5.49735020e-02 7.12468635e-03 
  7.57900000e+03 5.50941286e-02 8.19656285e-03 
